Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
1006032852,SEXY,LOW,4.6,M,SUMMER,O-NECK,SLEEVELESS,EMPIRE,,chiffon,ruffles,animal,1
1212192089,CASUAL,LOW,0.0,L,SUMMER,O-NECK,PETAL,NATURAL,MICROFIBER,,ruffles,animal,0
1190380701,VINTAGE,HIGH,0.0,L,AUTUMN,O-NECK,FULL,NATURAL,POLYSTER,,,print,0
966005983,BRIEF,AVERAGE,4.6,L,SPRING,O-NECK,FULL,NATURAL,SILK,chiffon,embroidary,print,1
876339541,CUTE,LOW,4.5,M,SUMMER,O-NECK,BUTTERFLY,NATURAL,CHIFFONFABRIC,chiffon,bow,dot,0
1068332458,BOHEMIAN,LOW,0.0,M,SUMMER,V-NECK,SLEEVELESS,EMPIRE,,,,print,0
1220707172,CASUAL,AVERAGE,0.0,XL,SUMMER,O-NECK,FULL,,COTTON,,,solid,0
1219677488,NOVELTY,AVERAGE,0.0,FREE,AUTUMN,O-NECK,SHORT,NATURAL,POLYSTER,broadcloth,lace,,0
1113094204,FLARE,AVERAGE,0.0,FREE,SPRING,V-NECK,SHORT,EMPIRE,COTTON,broadcloth,beading,solid,1
985292672,BOHEMIAN,LOW,0.0,FREE,SUMMER,V-NECK,SLEEVELESS,NATURAL,NYLON,chiffon,,,1
1117293701,PARTY,AVERAGE,5.0,FREE,SUMMER,O-NECK,FULL,NATURAL,POLYSTER,broadcloth,lace,solid,0
898481530,FLARE,AVERAGE,0.0,FREE,SPRING,V-NECK,SHORT,,NYLON,,,animal,0
957723897,SEXY,LOW,4.7,M,WINTER,O-NECK,THREEQUARTER,,,chiffon,lace,print,1
749031896,VINTAGE,AVERAGE,4.8,M,SUMMER,O-NECK,SHORT,EMPIRE,COTTON,jersey,,animal,1
1055411544,CASUAL,LOW,5.0,M,SUMMER,BOAT-NECK,SHORT,,COTTON,,sashes,solid,0
1162628131,CASUAL,LOW,0.0,FREE,WINTER,BOAT-NECK,FULL,,OTHER,other,lace,,0
624314841,CUTE,AVERAGE,4.7,L,SPRING,O-NECK,SHORT,,COTTON,,sashes,solid,1
830467746,BOHEMIAN,MEDIUM,5.0,FREE,AUTUMN,O-NECK,FULL,NATURAL,,,hollowout,patchwork,1
840857118,BRIEF,AVERAGE,0.0,M,WINTER,PETERPAN-COLLOR,THREEQUARTER,NATURAL,COTTON,,,patchwork,0
1113221101,SEXY,AVERAGE,5.0,M,AUTUMN,O-NECK,SLEEVELESS,EMPIRE,MILKSILK,,,,1
861754372,SEXY,AVERAGE,4.5,L,AUTUMN,O-NECK,FULL,,COTTON,,beading,solid,0
856178100,CASUAL,LOW,4.3,M,SUMMER,O-NECK,SLEEVELESS,NATURAL,,chiffon,,solid,0
1122989777,BRIEF,LOW,4.0,XL,SUMMER,V-NECK,SHORT,NATURAL,COTTON,,pockets,solid,0
840516484,SEXY,AVERAGE,4.7,S,SUMMER,V-NECK,SLEEVELESS,EMPIRE,COTTON,,sequined,solid,1
768517084,SEXY,AVERAGE,0.0,FREE,AUTUMN,V-NECK,SLEEVELESS,NATURAL,POLYSTER,,lace,patchwork,0
1139843344,SEXY,AVERAGE,0.0,M,AUTUMN,O-NECK,SLEEVELESS,EMPIRE,COTTON,broadcloth,,print,0
1004212992,SEXY,AVERAGE,4.7,M,SPRING,O-NECK,SLEEVELESS,NATURAL,,,,solid,1
1235426503,CASUAL,LOW,0.0,L,SUMMER,O-NECK,SLEEVELESS,NATURAL,COTTON,jersey,,print,0
942808364,CUTE,LOW,4.3,FREE,AUTUMN,O-NECK,SLEEVELESS,NATURAL,POLYSTER,chiffon,sashes,striped,0
629131530,CUTE,LOW,4.7,M,SPRING,RUFFLED,SHORT,EMPIRE,CHIFFONFABRIC,chiffon,bow,dot,1
