Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
1006032852,10,3.0,4.6,3,3.0,o-neck,7.0,EMPIRE,,chiffon,ruffles,animal,1
1212192089,3,3.0,0.0,2,3.0,o-neck,5.0,NATURAL,MICROFIBER,,ruffles,animal,0
1190380701,11,2.0,0.0,2,1.0,o-neck,3.0,NATURAL,POLYSTER,,,print,0
966005983,2,1.0,4.6,2,2.0,o-neck,3.0,NATURAL,SILK,chiffon,embroidary,print,1
876339541,4,3.0,4.5,3,3.0,o-neck,1.0,NATURAL,CHIFFONFABRIC,chiffon,bow,dot,0
1068332458,1,3.0,0.0,3,3.0,v-neck,7.0,EMPIRE,,,,print,0
1220707172,3,1.0,0.0,5,3.0,o-neck,3.0,,COTTON,,,solid,0
1219677488,7,1.0,0.0,1,1.0,o-neck,6.0,NATURAL,POLYSTER,broadcloth,lace,,0
1113094204,6,1.0,0.0,1,2.0,v-neck,6.0,EMPIRE,COTTON,broadcloth,beading,solid,1
985292672,1,3.0,0.0,1,3.0,v-neck,7.0,NATURAL,NYLON,chiffon,,,1
1117293701,9,1.0,5.0,1,3.0,o-neck,3.0,NATURAL,POLYSTER,broadcloth,lace,solid,0
898481530,6,1.0,0.0,1,2.0,v-neck,6.0,,NYLON,,,animal,0
957723897,10,3.0,4.7,3,4.0,o-neck,8.0,,,chiffon,lace,print,1
749031896,11,1.0,4.8,3,3.0,o-neck,6.0,EMPIRE,COTTON,jersey,,animal,1
1055411544,3,3.0,5.0,3,3.0,boat-neck,6.0,,COTTON,,sashes,solid,0
1162628131,3,3.0,0.0,1,4.0,boat-neck,3.0,,OTHER,other,lace,,0
624314841,4,1.0,4.7,2,2.0,o-neck,6.0,,COTTON,,sashes,solid,1
830467746,1,4.0,5.0,1,1.0,o-neck,3.0,NATURAL,,,hollowout,patchwork,1
840857118,2,1.0,0.0,3,4.0,peterpan-collor,8.0,NATURAL,COTTON,,,patchwork,0
1113221101,10,1.0,5.0,3,1.0,o-neck,7.0,EMPIRE,MILKSILK,,,,1
861754372,10,1.0,4.5,2,1.0,o-neck,3.0,,COTTON,,beading,solid,0
856178100,3,3.0,4.3,3,3.0,o-neck,7.0,NATURAL,,chiffon,,solid,0
